GlobalId,IfcType,Name,Material,QuantityName,QuantityValue,MatchedUnitCost,CostUnit,CalculatedElementCost,CostBasis
2du1puVD9BDw_hpi4B0Nz1,IfcWall,opgaand werk,03 Metselwerk - kalkzandsteen C,Length,600.0,40.0,m,24000.0,Length (600.00 m) * UnitCost (40.0)
07CJSAM0fDC9txPX6iBpVL,IfcWall,opgaand werk,03 Metselwerk - kalkzandsteen C,Length,650.0,40.0,m,26000.0,Length (650.00 m) * UnitCost (40.0)
0KEODzPAvAYfDEnWfvxPSf,IfcWall,opgaand werk,03 Metselwerk - kalkzandsteen C,Length,360.0,40.0,m,14400.0,Length (360.00 m) * UnitCost (40.0)
2japyIy5LCh9FVOdjL5sLr,IfcWall,opgaand werk,03 Metselwerk - kalkzandsteen C,Length,356.000001647,40.0,m,14240.0,Length (356.00 m) * UnitCost (40.0)
0UEcPQQZf2ruz21iN4LQvo,IfcWall,binnenblad,03 Metselwerk - kalkzandsteen C,Length,3150.0000459,40.0,m,126000.0,Length (3150.00 m) * UnitCost (40.0)
1magbedPL42RAhf3XfDKY6,IfcWall,binnenblad,03 Metselwerk - kalkzandsteen C,Length,434.0,40.0,m,17360.0,Length (434.00 m) * UnitCost (40.0)
0EiOJWQwP8RP1i4VoottS1,IfcWall,liftwand,03 Metselwerk - kalkzandsteen C,Length,345.0,40.0,m,13800.0,Length (345.00 m) * UnitCost (40.0)
2SU_$70IL9dP1iVpfoyafy,IfcWall,liftwand,03 Metselwerk - kalkzandsteen C,Length,1650.0,40.0,m,66000.0,Length (1650.00 m) * UnitCost (40.0)
19arA5gn17b8SQaKVdvfz3,IfcWall,liftwand,03 Metselwerk - kalkzandsteen C,Length,2928.0,40.0,m,117120.0,Length (2928.00 m) * UnitCost (40.0)
0exQNtZczDAOyzHY$YLkO2,IfcWall,binnenwand,03 Metselwerk - kalkzandsteen C,Length,1570.06258297,40.0,m,62802.5,Length (1570.06 m) * UnitCost (40.0)
2OPGVjLwDF0wVnNywHUUlT,IfcWall,binnenblad,03 Metselwerk - kalkzandsteen C,Length,5280.0,40.0,m,211200.0,Length (5280.00 m) * UnitCost (40.0)
2oV_twygL43RXSDJkKYyRa,IfcWall,binnenblad,03 Metselwerk - kalkzandsteen C,Length,1171.99974323,40.0,m,46879.99,Length (1172.00 m) * UnitCost (40.0)
2mrJJwztH1lRWVSJaE436d,IfcWall,binnenblad,03 Metselwerk - kalkzandsteen C,Length,2826.00013411,40.0,m,113040.01,Length (2826.00 m) * UnitCost (40.0)
3HjuPtyCPEmu97uERfnDFZ,IfcWall,binnenblad,03 Metselwerk - kalkzandsteen C,Length,3727.99996351,40.0,m,149120.0,Length (3728.00 m) * UnitCost (40.0)
3Ifq_8Lo53s8fC6K29hy5u,IfcWall,buitenblad,03 mw-baksteen - bruin (liggend),Length,830.000254822,50.0,m,41500.01,Length (830.00 m) * UnitCost (50.0)
1yIET64x99PfQ4ri7yb9K4,IfcWall,binnenwand,03 Metselwerk - kalkzandsteen C,Length,276.0,40.0,m,11040.0,Length (276.00 m) * UnitCost (40.0)
1gJIlGYF99aAEU6VbRDsIV,IfcWall,binnenblad,03 Metselwerk - kalkzandsteen C,Length,2840.99995789,40.0,m,113640.0,Length (2841.00 m) * UnitCost (40.0)
1Vcc22DEz69QR7n2Cf7_7$,IfcWall,binnenblad,03 Metselwerk - kalkzandsteen C,Length,2825.9998793,40.0,m,113040.0,Length (2826.00 m) * UnitCost (40.0)
3b2U496P5Ebhz5FROhTwFH,IfcWall,HSB-element,01 plaatmateriaal - gipsvezelplaat,Length,735.531793539,90.0,m,66197.86,Length (735.53 m) * UnitCost (90.0)
2Heu00tLvFlPQxYnPGx8AX,IfcWall,HSB-element,01 plaatmateriaal - gipsvezelplaat,Length,81.2919131008,90.0,m,7316.27,Length (81.29 m) * UnitCost (90.0)
03_CVBI75Aj86591do_EB_,IfcWall,HSB-element,01 plaatmateriaal - gipsvezelplaat,Length,735.531726868,90.0,m,66197.86,Length (735.53 m) * UnitCost (90.0)
2cmOQW7ZP7CfQK001MVxdq,IfcWall,HSB-element,01 plaatmateriaal - gipsvezelplaat,Length,777.999951864,90.0,m,70020.0,Length (778.00 m) * UnitCost (90.0)
3AQlpGNjz5ZxSqHIv9tjed,IfcWall,HSB-element,01 plaatmateriaal - gipsvezelplaat,Length,1034.0,90.0,m,93060.0,Length (1034.00 m) * UnitCost (90.0)
2yalEh8OrE6uikJxoQiffi,IfcWall,HSB-element,01 plaatmateriaal - gipsvezelplaat,Length,777.999951864,90.0,m,70020.0,Length (778.00 m) * UnitCost (90.0)
2z4_cLW$15$BrtLnL76nI1,IfcWall,HSB-element,01 plaatmateriaal - gipsvezelplaat,Length,1034.0,90.0,m,93060.0,Length (1034.00 m) * UnitCost (90.0)
2Lfx3m2W1D0BCPLmz9wvjA,IfcWall,buitenblad,03 mw-baksteen - bruin (liggend),Length,577.772326722,50.0,m,28888.62,Length (577.77 m) * UnitCost (50.0)
1mqSCWO5bBR84dhZ5SEDMu,IfcWall,buitenblad,03 mw-baksteen - bruin (liggend),Length,144.060707481,50.0,m,7203.04,Length (144.06 m) * UnitCost (50.0)
0tyKkyPHXFkvhRpZpx0R5f,IfcWall,buitenblad,03 mw-baksteen - bruin (liggend),Length,143.774501239,50.0,m,7188.73,Length (143.77 m) * UnitCost (50.0)
3hGtOZh1X55h2EX09_BAZ8,IfcWall,buitenblad,03 mw-baksteen - bruin (liggend),Length,141.022207372,50.0,m,7051.11,Length (141.02 m) * UnitCost (50.0)
2_Spc3OFz32f9Immwt4_7U,IfcWall,buitenblad,03 mw-baksteen - bruin (liggend),Length,777.999951864,50.0,m,38900.0,Length (778.00 m) * UnitCost (50.0)
1_BHYRe$fDXBhfHsjJoUsZ,IfcWall,buitenblad,03 mw-baksteen - bruin (liggend),Length,1034.00019095,50.0,m,51700.01,Length (1034.00 m) * UnitCost (50.0)
20cjtlT5j2yRhg3KCrPNR1,IfcWall,buitenblad,03 mw-baksteen - bruin (liggend),Length,777.999951864,50.0,m,38900.0,Length (778.00 m) * UnitCost (50.0)
1hPB35rErB1eLTnNNR9Txn,IfcWall,buitenblad,03 mw-baksteen - bruin (liggend),Length,577.772326722,50.0,m,28888.62,Length (577.77 m) * UnitCost (50.0)
09VD$Lqi93x9JCZ1tfrTrL,IfcWall,buitenblad,03 mw-baksteen - bruin (liggend),Length,144.060707481,50.0,m,7203.04,Length (144.06 m) * UnitCost (50.0)
2MtbYSfxf8XPurPixjtvdV,IfcWall,buitenblad,03 mw-baksteen - bruin (liggend),Length,144.767578384,50.0,m,7238.38,Length (144.77 m) * UnitCost (50.0)
1hBjzJQ_r4MQi5$dPip1Ju,IfcWall,buitenblad,03 mw-baksteen - bruin (liggend),Length,141.022207372,50.0,m,7051.11,Length (141.02 m) * UnitCost (50.0)
