GlobalId,IfcType,Name,Tag,Material,QuantityName,QuantityValue
2japyIy5LCh9FVOdjL5sLr,IfcWall,opgaand werk,AD933F12-F055-4CAC-93DF-627B55176575,03 Metselwerk - kalkzandsteen C,Length,356.000001647
0UEcPQQZf2ruz21iN4LQvo,IfcWall,binnenblad,1E3A665A-6A3A-42D7-8F42-06C5C455AE72,03 Metselwerk - kalkzandsteen C,Length,3150.0000459
1magbedPL42RAhf3XfDKY6,IfcWall,binnenblad,7092A968-9D95-4409-B2AB-A43869354886,03 Metselwerk - kalkzandsteen C,Length,434.0
0EiOJWQwP8RP1i4VoottS1,IfcWall,liftwand,0EB184E0-6BA6-486D-906C-11FCB2DF7701,03 Metselwerk - kalkzandsteen C,Length,345.0
2SU_$70IL9dP1iVpfoyafy,IfcWall,liftwand,9C7BEFC7-0125-499D-906C-7F3A72F24A7C,03 Metselwerk - kalkzandsteen C,Length,1650.0
19arA5gn17b8SQaKVdvfz3,IfcWall,liftwand,49935285-AB10-4794-871A-9147E7E69F43,03 Metselwerk - kalkzandsteen C,Length,2928.0
0exQNtZczDAOyzHY$YLkO2,IfcWall,binnenwand,28EDA5F7-8E6F-4D29-8F3D-462FE256E602,03 Metselwerk - kalkzandsteen C,Length,1570.06258297
2OPGVjLwDF0wVnNywHUUlT,IfcWall,binnenblad,986507ED-57A3-4F03-A7F1-5FCE9179EBDD,03 Metselwerk - kalkzandsteen C,Length,5280.0
2oV_twygL43RXSDJkKYyRa,IfcWall,binnenblad,B27FEDFA-F2A5-440D-B85C-353B948BC6E4,03 Metselwerk - kalkzandsteen C,Length,1171.99974323
2mrJJwztH1lRWVSJaE436d,IfcWall,binnenblad,B0D534FA-F774-41BD-B81F-71390E1031A7,03 Metselwerk - kalkzandsteen C,Length,2826.00013411
3HjuPtyCPEmu97uERfnDFZ,IfcWall,binnenblad,D1B78677-F0C6-4EC3-8247-E0E6E9C4D3E3,03 Metselwerk - kalkzandsteen C,Length,3727.99996351
3Ifq_8Lo53s8fC6K29hy5u,IfcWall,buitenblad,D2A74F88-5721-43D8-8A4C-194089AFC178,03 mw-baksteen - bruin (liggend),Length,830.000254822
1yIET64x99PfQ4ri7yb9K4,IfcWall,binnenwand,7C48E746-13B2-4966-9684-D6C1FC949504,03 Metselwerk - kalkzandsteen C,Length,276.0
1gJIlGYF99aAEU6VbRDsIV,IfcWall,binnenblad,6A4D2BD0-88F2-4990-A39E-19F95B37649F,03 Metselwerk - kalkzandsteen C,Length,2840.99995789
1Vcc22DEz69QR7n2Cf7_7$,IfcWall,binnenblad,5F9A6082-34EF-4625-A6C7-C423291FE1FF,03 Metselwerk - kalkzandsteen C,Length,2825.9998793
3b2U496P5Ebhz5FROhTwFH,IfcWall,HSB-element,E509E109-1991-4E96-BF45-3DB62B77A3D1,01 plaatmateriaal - gipsvezelplaat,Length,735.531793539
2Heu00tLvFlPQxYnPGx8AX,IfcWall,HSB-element,91A38000-DD5E-4FBD-96BB-8B1650EC82A1,01 plaatmateriaal - gipsvezelplaat,Length,81.2919131008
03_CVBI75Aj86591do_EB_,IfcWall,HSB-element,03F8C7CB-4871-4AB4-8185-2419F2F8E2FE,01 plaatmateriaal - gipsvezelplaat,Length,735.531726868
2cmOQW7ZP7CfQK001MVxdq,IfcWall,HSB-element,A6C186A0-1E36-4732-9694-0000567FB9F4,01 plaatmateriaal - gipsvezelplaat,Length,777.999951864
3AQlpGNjz5ZxSqHIv9tjed,IfcWall,HSB-element,CA6AFCD0-5EDF-458F-B734-452E49DEDA27,01 plaatmateriaal - gipsvezelplaat,Length,1034.0
2yalEh8OrE6uikJxoQiffi,IfcWall,HSB-element,BC92F3AB-218D-4E1B-8B2E-4FBC9AB29A6C,01 plaatmateriaal - gipsvezelplaat,Length,777.999951864
2z4_cLW$15$BrtLnL76nI1,IfcWall,HSB-element,BD13E995-83F0-45FC-BD77-5715471B1481,01 plaatmateriaal - gipsvezelplaat,Length,1034.0
2Lfx3m2W1D0BCPLmz9wvjA,IfcWall,buitenblad,95A7B0F0-0A00-4D00-B319-570F49EB9B4A,03 mw-baksteen - bruin (liggend),Length,577.772326722
